iso,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000_2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018
PRT,50,9002184,1598553,1457098,102771,19343,28088,21620,43370,32335,35694,30927,28822,34467,42421,23563,47907,37588,44476,33469,67922,120794,73220
PRT,75,9002184,919327,812772,70156,11799,17845,14133,26957,21478,23703,20186,19372,23308,29383,17204,32741,20745,25367,18523,38246,67674,44738
PRY,10,40026495,26954616,22407038,14616,158431,204498,275594,253958,269794,151233,433840,380839,356855,444910,460763,516173,323343,351357,284815,329444,373738,265038
PRY,15,40026495,26488156,22309887,14059,156863,202673,274045,252546,268244,150642,432429,380018,356228,444544,460349,515330,322766,350553,284095,328021,371520,264155
PRY,20,40026495,25810260,21796667,13370,154975,200892,272242,250980,266915,150003,430727,378936,355462,444063,459592,514277,321775,349367,283005,325868,368133,262809
PRY,25,40026495,25044405,21225757,13001,153840,199790,271024,250085,265977,149587,429496,378217,354894,443635,458870,513029,320490,347989,281536,323246,364465,261123
PRY,30,40026495,24330311,20482798,12559,150377,195319,267712,247616,262885,148420,426585,376663,353386,442568,457468,510636,318798,345985,279534,320032,360384,258940
PRY,50,40026495,14019148,13406572,9348,106720,142390,208565,192434,162862,94854,257494,238907,218863,293955,274520,292591,159485,147597,120269,159682,204446,111872
PRY,75,40026495,7562251,7281592,6073,62555,89551,122106,125781,91151,48135,126635,93850,84091,128770,136504,166608,106045,85334,62053,89648,134209,54957
PSE,10,624347,1673,1758,1,4,3,2,2,1,2,1,2,2,3,0,1,0,4,0,0,3,3
PSE,15,624347,1273,1279,0,2,3,2,1,0,1,1,2,2,2,0,0,0,4,0,0,3,3
PSE,20,624347,1150,1202,0,2,3,2,1,0,1,1,2,2,1,0,0,0,2,0,0,3,2
PSE,25,624347,742,940,0,2,2,1,1,0,1,0,2,1,1,0,0,0,1,0,0,2,2
PSE,30,624347,623,865,0,2,2,1,0,0,1,0,2,1,1,0,0,0,1,0,0,1,2
PSE,50,624347,279,226,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2
PSE,75,624347,74,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QAT,10,1165470,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QAT,15,1165470,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QAT,20,1165470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QAT,25,1165470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QAT,30,1165470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QAT,50,1165470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QAT,75,1165470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REU,10,253200,204489,213463,2954,28,512,147,0,235,649,0,15,195,229,581,905,2000,796,16,7,0,0
REU,15,253200,200950,203641,2808,28,510,147,0,234,647,0,15,193,228,579,903,1969,790,16,7,0,0
REU,20,253200,184870,185532,2534,28,509,146,0,233,643,0,15,192,227,573,887,1841,743,12,7,0,0
REU,25,253200,181438,180257,2470,28,509,145,0,232,641,0,15,191,227,572,882,1799,731,11,7,0,0
REU,30,253200,171503,171206,2198,28,503,145,0,229,635,0,14,187,225,564,856,1663,681,8,7,0,0
REU,50,253200,132294,137214,1113,26,458,129,0,211,595,0,13,176,205,479,668,890,426,2,5,0,0
REU,75,253200,74682,69106,114,14,144,27,0,139,374,0,4,111,109,165,207,174,168,0,1,0,0
